Split,Method,Type,AUC,Accuracy,Precision,Recall,Fmeasure
90/10,Logistic Regression ( No Regularization),NER,0.76,0.97,0.91,0.53,66.67
,,Original,0.81,0.98,0.92,0.63,75
,Logistic Regression + L1 penalty (Lasso),NER,0.76,0.97,0.91,0.53,66.67
,,Original,0.81,0.98,0.92,0.63,75
,Logistic Regression + L2 penalty (Ridge),NER,0.63,0.96,1,0.26,41.67
,,Original,0.53,0.95,1,0.05,10
,Logistic Regression + Elastic Net penalty,NER,0.76,0.97,0.91,0.53,66.67
,,Original,0.79,0.98,0.92,0.58,70.97
80/20,Logistic Regression ( No Regularization),NER,0.75,0.97,0.68,0.5,57.69
,,Original,0.78,0.98,0.94,0.57,70.83
,Logistic Regression + L1 penalty (Lasso),NER,0.75,0.97,0.68,0.5,57.69
,,Original,0.78,0.98,0.94,0.57,70.83
,Logistic Regression + L2 penalty (Ridge),NER,0.62,0.97,1,0.23,37.84
,,Original,0.53,0.96,1,0.07,12.5
,Logistic Regression + Elastic Net penalty,NER,0.76,0.97,0.73,0.53,61.54
,,Original,0.78,0.98,0.94,0.57,70.83
70/30,Logistic Regression ( No Regularization),NER,0.73,0.97,0.63,0.48,54.32
,,Original,0.81,0.98,0.83,0.63,71.6
,Logistic Regression + L1 penalty (Lasso),NER,0.73,0.97,0.63,0.48,54.32
,,Original,0.81,0.98,0.83,0.63,71.6
,Logistic Regression + L2 penalty (Ridge),NER,0.61,0.97,1,0.22,35.71
,,Original,0.53,0.96,1,0.07,12.24
,Logistic Regression + Elastic Net penalty,NER,0.72,0.97,0.64,0.46,53.16
,,Original,0.79,0.98,0.79,0.59,67.5
60/40,Logistic Regression ( No Regularization),NER,0.69,0.96,0.6,0.39,47.06
,,Original,0.8,0.98,0.82,0.6,69.16
,Logistic Regression + L1 penalty (Lasso),NER,0.69,0.96,0.6,0.39,47.06
,,Original,0.8,0.98,0.82,0.6,69.16
,Logistic Regression + L2 penalty (Ridge),NER,0.6,0.97,0.93,0.21,34.21
,,Original,0.55,0.96,1,0.1,17.65
,Logistic Regression + Elastic Net penalty,NER,0.69,0.96,0.59,0.39,46.6
,,Original,0.75,0.97,0.79,0.5,61.39
